timestamp,rssi,rate,channel,bandwidth,data_length,esp_timestamp,csi_data
2026-04-17T14:38:37.474958,-23,11,1,0,,,"[30, -32, 1, 0, 15, -19, 15, -20, 15, -20, 15, -20, 14, -20, 14, -20, 14, -20, 14, -20, 14, -21, 14, -21, 14, -22, 13, -22, 14, -22, 14, -21, 15, -21, 15, -21, 15, -21, 15, -20, 15, -19, 15, -19, 15, -18, 15, -18, 16, -17, 17, -16, 17, -15, 4, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -3, 11, -11, 11, -11, 12, -11, 12, -11, 12, -11, 12, -11, 13, -11, 14, -11, 14, -12, 14, -12, 15, -12, 15, -12, 15, -12, 15, -12, 15, -13, 15, -13, 14, -13, 14, -14, 15, -14, 15, -15, 14, -16, 14, -16, 14, -16, 15, -17, 15, -18, 15, -18]"
2026-04-17T14:38:37.503199,-85,15,1,0,,,"[30, -32, 1, 0, 22, -15, 23, -15, 24, -14, 23, -12, 21, -10, 20, -9, 18, -12, 16, -14, 15, -15, 17, -15, 19, -11, 19, -8, 17, -9, 15, -8, 14, -5, 14, -3, 13, -1, 14, 1, 12, 1, 8, 2, 7, 3, 7, 2, 7, 1, 5, 1, 4, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -2, 5, -6, 5, -4, 7, -3, 8, -3, 7, -3, 8, -3, 10, -3, 11, -3, 13, -3, 15, -1, 16, 2, 18, 3, 20, 1, 20, -1, 18, -3, 17, -6, 15, -5, 14, -4, 14, -5, 16, -5, 18, -7, 19, -9, 21, -9, 22, -9, 22, -10, 20, -10]"
2026-04-17T14:38:37.534882,-72,10,1,0,,,"[126, -32, 7, 0, 5, -35, 5, -34, 4, -32, 3, -30, 3, -27, 2, -23, 0, -18, -1, -13, -1, -8, -1, -2, -1, 4, 0, 9, 1, 12, 1, 14, 1, 17, 2, 19, 3, 21, 4, 22, 5, 23, 7, 24, 7, 24, 8, 23, 9, 22, 8, 20, 9, 19, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -5, -20, -17, -20, -17, -20, -17, -21, -16, -20, -14, -20, -12, -20, -11, -19, -10, -19, -9, -18, -8, -17, -7, -17, -6, -16, -7, -14, -8, -12, -9, -11, -11, -10, -14, -8, -17, -6, -21, -4, -24, -1, -27, 1, -29, 2, -32, 2, -34, 3, -35, 4, -35]"
2026-04-17T14:38:37.565440,-23,11,1,0,,,"[30, -32, 1, 0, 16, 17, 16, 17, 17, 17, 17, 17, 17, 17, 17, 16, 18, 16, 18, 16, 18, 16, 19, 16, 19, 16, 19, 16, 19, 16, 19, 16, 19, 16, 19, 17, 18, 17, 18, 17, 17, 17, 16, 17, 15, 17, 15, 17, 14, 18, 13, 18, 13, 19, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 8, 12, 8, 13, 7, 13, 7, 14, 7, 14, 8, 14, 8, 15, 8, 15, 9, 16, 8, 16, 8, 16, 8, 17, 8, 17, 8, 17, 9, 17, 9, 17, 10, 16, 10, 16, 11, 16, 12, 16, 12, 16, 13, 16, 13, 17, 14, 17, 15, 17, 15, 17]"
2026-04-17T14:38:37.599048,-23,11,1,0,,,"[30, -32, 1, 0, 16, 14, 16, 14, 16, 13, 16, 13, 17, 13, 17, 13, 17, 13, 17, 12, 18, 12, 19, 11, 19, 11, 19, 12, 19, 13, 18, 13, 18, 13, 18, 14, 18, 14, 17, 14, 16, 14, 16, 14, 15, 15, 15, 15, 15, 14, 14, 15, 13, 15, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9, 10, 9, 10, 9, 11, 8, 11, 9, 11, 9, 12, 9, 12, 9, 13, 9, 13, 9, 13, 10, 13, 10, 13, 10, 13, 10, 13, 10, 14, 10, 14, 10, 13, 11, 13, 11, 13, 12, 14, 12, 13, 13, 13, 14, 13, 14, 13, 15, 13, 16, 13]"
2026-04-17T14:38:37.629851,-72,10,1,0,,,"[25, -111, 17, 0, -3, 36, -3, 34, -2, 32, -1, 29, 0, 26, 1, 22, 1, 17, 1, 12, 1, 7, 0, 1, 0, -4, -1, -9, -2, -13, -3, -15, -4, -17, -5, -19, -7, -22, -8, -23, -9, -24, -10, -25, -12, -25, -12, -24, -12, -23, -12, -21, -11, -20, -3, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21, 16, 21, 16, 21, 16, 21, 14, 21, 12, 20, 11, 19, 9, 19, 8, 18, 7, 17, 7, 16, 7, 15, 6, 14, 6, 13, 7, 12, 9, 11, 11, 10, 13, 7, 16, 5, 19, 3, 22, 2, 26, 0, 29, -1, 31, -3, 33, -3, 34, -3, 35]"
2026-04-17T14:38:37.659711,-71,10,1,0,,,"[-7, -112, 15, 0, -6, 35, -6, 33, -5, 32, -4, 29, -3, 26, -2, 22, -1, 18, 0, 12, 0, 6, 0, 1, 0, -4, 0, -8, 0, -12, 0, -16, -1, -18, -1, -19, -2, -21, -3, -23, -4, -25, -5, -25, -6, -26, -7, -26, -7, -25, -7, -23, -7, -21, -2, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 23, 13, 22, 13, 22, 12, 23, 11, 22, 10, 20, 9, 18, 9, 18, 8, 18, 7, 18, 6, 17, 5, 16, 4, 15, 4, 14, 6, 12, 7, 11, 9, 9, 12, 7, 16, 6, 19, 3, 22, 1, 26, -1, 29, -2, 31, -3, 33, -3, 34, -4, 34]"
2026-04-17T14:38:37.691325,-87,15,1,0,,,"[30, -32, 1, 0, -1, -1, -2, -4, -5, -7, -10, -12, -13, -15, -13, -17, -14, -20, -17, -24, -19, -25, -19, -25, -18, -22, -16, -18, -14, -17, -13, -15, -12, -11, -9, -8, -3, -6, 2, -3, 5, 4, 6, 9, 7, 9, 9, 12, 10, 16, 13, 16, 16, 17, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, -2, 4, 1, -1, 4, -4, 4, -6, 4, -8, 8, -11, 13, -13, 15, -13, 15, -11, 14, -11, 14, -10, 14, -10, 11, -8, 6, -5, 3, 0, 0, 6, -1, 11, -1, 12, 0, 11, 1, 13, 0, 17, -1, 18, 2, 16, 4, 13, 3, 12, 5, 8]"
2026-04-17T14:38:37.721261,-84,10,1,0,,,"[28, -64, 1, 0, 8, 4, 3, 7, -1, 10, -7, 15, -11, 21, -14, 25, -18, 28, -18, 29, -15, 27, -13, 25, -12, 24, -12, 19, -10, 14, -5, 10, -1, 2, 2, -5, 5, -9, 9, -16, 13, -21, 15, -22, 16, -23, 19, -24, 20, -24, 20, -24, 20, -23, 5, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 2, -16, 7, -19, 6, -21, 6, -22, 4, -22, 2, -19, 0, -16, -2, -15, -1, -11, 1, -6, 4, -1, 6, 3, 7, 3, 11, 4, 11, 9, 7, 12, 5, 14, 4, 19, 2, 24, -2, 25, -5, 26, -5, 30, -5, 32, -7, 30, -8, 28, -9, 27, -8]"
2026-04-17T14:38:37.766601,-72,10,1,0,,,"[-7, -112, 15, 0, -33, -15, -33, -14, -32, -14, -29, -12, -25, -9, -20, -7, -15, -5, -11, -4, -7, -3, -3, 0, 0, 2, 5, 3, 10, 3, 14, 4, 18, 5, 20, 4, 22, 3, 24, 2, 25, 1, 26, 0, 26, 0, 25, -2, 25, -4, 23, -3, 21, -2, 5, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 4, -22, 16, -22, 15, -21, 15, -20, 15, -19, 17, -18, 18, -18, 18, -15, 17, -13, 15, -13, 14, -13, 13, -12, 13, -11, 12, -12, 10, -14, 9, -14, 7, -15, 5, -18, 2, -22, -2, -24, -4, -25, -6, -27, -8, -29, -10, -31, -13, -32, -15, -34, -16]"
