timestamp,rssi,rate,channel,data_length,magnitude,phase,csi_data
2026-04-17T14:47:33.540587,-80,10,1,128,0,-61,"[30, -31, 17, 0, 13, -39, 15, -36, 13, -39, 10, -42, 10, -40, 8, -39, 5, -39, 4, -39, 4, -38, 1, -36, -1, -36, -2, -34, -5, -34, -8, -34, -9, -32, -7, -29, -6, -26, -6, -25, -7, -24, -7, -20, -6, -18, -3, -18, 0, -15, 0, -10, -1, -8, -1, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 13, 8, 12, 11, 10, 13, 8, 14, 6, 13, 5, 11, 2, 11, -1, 10, -3, 8, -5, 8, -7, 9, -10, 6, -9, 2, -7, -2, -6, -5, -6, -7, -5, -10, -4, -11, -4, -14, -3, -20, -1, -23, 0, -24, 2, -26, 3, -29, 4, -32, 5, -36]"
2026-04-17T14:47:33.590751,-71,10,1,128,68,90,"[23, 113, 17, 0, -14, -22, -14, -21, -15, -19, -16, -18, -17, -16, -18, -13, -19, -10, -20, -7, -21, -3, -22, 0, -22, 3, -22, 5, -23, 6, -22, 6, -22, 7, -21, 8, -21, 8, -21, 9, -21, 9, -20, 9, -19, 9, -18, 9, -16, 8, -15, 8, -14, 7, -4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 10, 4, 10, 5, 9, 8, 8, 10, 7, 11, 6, 12, 4, 13, 2, 13, 0, 14, -1, 13, -3, 13, -4, 11, -6, 10, -8, 8, -10, 5, -11, 3, -12, 0, -13, -4, -14, -7, -14, -10, -14, -13, -14, -15, -14, -17, -15, -19, -15, -20, -15, -21]"
2026-04-17T14:47:33.634167,-80,10,1,128,0,1,"[0, 1, 16, 0, -1, -36, -1, -37, -2, -36, -3, -35, -3, -36, -2, -37, -3, -36, -5, -33, -8, -31, -11, -31, -14, -31, -16, -31, -15, -29, -15, -27, -14, -26, -13, -25, -12, -22, -11, -20, -11, -20, -10, -19, -8, -17, -7, -13, -4, -10, -2, -6, -3, -3, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 14, 5, 14, 6, 12, 8, 11, 10, 9, 10, 8, 10, 5, 10, 2, 10, -1, 9, -2, 8, -3, 6, -4, 4, -4, 2, -5, 1, -5, 0, -6, -3, -7, -6, -7, -10, -6, -13, -5, -17, -5, -20, -6, -23, -6, -27, -5, -28, -4, -29, -2, -32]"
2026-04-17T14:47:33.678396,-80,10,1,128,0,-61,"[30, -31, 17, 0, -34, 14, -33, 15, -34, 17, -33, 18, -31, 19, -31, 20, -30, 20, -27, 21, -26, 22, -25, 22, -24, 22, -21, 23, -19, 25, -17, 25, -13, 24, -11, 23, -11, 22, -10, 20, -10, 17, -9, 16, -8, 14, -8, 11, -7, 8, -6, 6, -5, 5, -2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -15, 1, -15, 1, -15, 3, -15, 5, -14, 8, -12, 10, -10, 11, -9, 10, -5, 9, -1, 8, -1, 7, 0, 4, 3, 2, 5, 1, 5, -1, 5, -3, 7, -5, 8, -9, 10, -11, 12, -13, 11, -16, 11, -21, 12, -24, 13, -25, 13, -26, 11]"
2026-04-17T14:47:33.715385,-70,10,1,128,68,90,"[23, 113, 17, 0, -25, 3, -24, 4, -24, 5, -23, 6, -21, 8, -19, 9, -17, 12, -15, 15, -12, 18, -9, 19, -7, 20, -5, 21, -4, 22, -2, 22, -1, 22, -1, 23, -1, 22, -1, 22, 0, 22, 0, 21, 0, 21, 1, 20, 1, 18, 1, 16, 1, 15, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -2, 9, -8, 10, -6, 11, -5, 13, -4, 13, -2, 14, 0, 14, 1, 13, 3, 13, 4, 12, 5, 11, 7, 9, 9, 6, 10, 4, 10, 2, 10, -2, 10, -5, 10, -8, 10, -12, 9, -15, 9, -18, 8, -21, 7, -22, 6, -24, 6, -24, 5, -24, 4]"
2026-04-17T14:47:33.752180,-80,10,1,128,0,1,"[0, 1, 16, 0, -27, 22, -28, 25, -30, 26, -30, 27, -28, 26, -26, 25, -26, 23, -25, 23, -22, 26, -20, 26, -19, 26, -17, 29, -15, 28, -14, 26, -13, 26, -12, 26, -12, 24, -12, 21, -11, 18, -12, 17, -12, 15, -8, 11, -4, 7, -4, 4, -4, 3, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -9, -13, -7, -15, -5, -15, -3, -15, 0, -15, 3, -14, 3, -13, 3, -12, 4, -10, 6, -7, 7, -4, 8, -2, 6, 0, 5, 2, 5, 4, 4, 6, 1, 7, -1, 9, -4, 12, -8, 16, -10, 16, -13, 16, -17, 17, -18, 18, -20, 20, -22, 22]"
2026-04-17T14:47:33.792067,-80,10,1,128,0,-61,"[30, -31, 17, 0, -14, 33, -16, 33, -15, 33, -13, 34, -11, 34, -9, 34, -7, 35, -5, 35, -4, 34, -1, 32, 2, 31, 4, 31, 5, 30, 5, 29, 6, 28, 5, 27, 4, 26, 5, 23, 4, 19, 3, 17, 2, 15, 1, 11, 0, 9, 0, 7, -1, 4, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -3, -13, -11, -12, -13, -9, -13, -7, -13, -4, -14, -1, -14, 0, -13, 3, -12, 4, -11, 5, -10, 5, -8, 6, -6, 5, -3, 4, 0, 3, 3, 4, 5, 4, 7, 3, 9, 1, 12, -1, 15, -3, 17, -4, 18, -3, 20, -4, 24, -7, 28, -10, 30]"
2026-04-17T14:47:33.838225,-90,15,1,128,-1,-62,"[30, -32, 1, 0, 7, -5, 5, -7, 9, -6, 12, -5, 11, -5, 8, -5, 8, -5, 9, -4, 5, -6, 1, -9, 0, -8, -2, -7, -4, -5, -3, -3, -4, -2, -2, -4, 0, -6, 0, -7, 1, -11, 5, -12, 9, -12, 9, -12, 6, -15, 6, -17, 4, -14, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 1, -14, 3, -13, 5, -11, 7, -9, 8, -9, 8, -10, 11, -10, 13, -11, 11, -13, 11, -13, 14, -11, 12, -8, 10, -8, 8, -8, 5, -8, 4, -7, 7, -4, 8, 0, 9, 3, 11, 4, 14, 4, 18, 2, 20, -1, 20, -3, 17, -2, 13, -1]"
2026-04-17T14:47:33.870506,-80,10,1,128,0,-61,"[30, -31, 17, 0, 21, 27, 20, 29, 20, 28, 21, 28, 22, 27, 24, 25, 25, 24, 26, 24, 26, 22, 25, 19, 24, 17, 27, 16, 28, 14, 28, 11, 27, 10, 24, 9, 22, 7, 20, 6, 19, 5, 17, 4, 14, 5, 12, 5, 11, 3, 7, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 1, -16, 3, -15, 1, -16, -1, -15, -2, -14, -5, -13, -7, -10, -7, -7, -7, -4, -9, -3, -11, -3, -10, 0, -7, 3, -6, 5, -4, 6, -2, 8, 0, 10, 2, 11, 2, 13, 2, 15, 5, 16, 8, 16, 12, 15, 16, 13, 18, 15, 21, 18, 23]"
2026-04-17T14:47:33.906032,-70,10,1,128,68,90,"[23, 113, 17, 0, -12, -23, -12, -22, -13, -21, -14, -19, -16, -17, -17, -14, -18, -12, -19, -9, -20, -5, -21, -2, -23, 1, -24, 3, -23, 4, -22, 5, -22, 6, -22, 7, -22, 8, -21, 8, -21, 7, -21, 7, -20, 7, -19, 8, -18, 8, -16, 8, -14, 6, -4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 9, 5, 8, 8, 7, 10, 6, 12, 5, 13, 3, 13, 2, 14, 1, 15, -1, 15, -3, 14, -4, 13, -6, 11, -8, 9, -9, 7, -10, 4, -12, 2, -13, -2, -13, -6, -13, -8, -13, -11, -13, -14, -14, -17, -14, -19, -13, -21, -12, -22, -11, -22]"
